IndicationId,IndicationName,IndicationImage
G1,Keratinisasi,http://dokterhewan.co.id/po-content/uploads/kucing.png
G2,Gatal gatal,https://gerava.com/wp-content/uploads/2019/08/Kucing-gatal.jpg
G3,Keropeng,https://ecs7.tokopedia.net/img/cache/700/product-1/2020/2/26/521400900/521400900_a0547b94-6e88-4455-968c-edba9ff81ebf_1280_1280.jpg
G4,Ketombe,https://3.bp.blogspot.com/-mhWDjpRVJU4/UA-eOcanv2I/AAAAAAAAARw/h3botIXkzIg/s1600/walking-dandruff-by-jojo-266x200.jpg
G5,Kutuan,https://www.ekor9.com/wp-content/uploads/2017/11/cara-hilangkan-kutu-kucing-dalam-rumah-dengan-cuka-apel.jpg
G6,Kurus,https://gerava.com/wp-content/uploads/2019/08/Kucing-kurus.jpg
G7,Bulu rontok,https://www.bigzah.com/wp-content/uploads/2020/05/bigzah-penyebab-bulu-kucing-rontok.jpg
G8,Anoreksia,https://1.bp.blogspot.com/-ofZWRJD4tMY/XQJty-1aPpI/AAAAAAAAGYQ/vghcNZMJpHIeAMQr_UoeoZ91TVZCtclnwCLcBGAs/s1600/anoreksia-pada-kucing.jpg
G9,Abdomen keras,https://www.wikihow.com/images_en/thumb/0/07/Diagnose-the-Cause-of-a-Swollen-Abdomen-in-Cats-Step-1-Version-2.jpg/v4-760px-Diagnose-the-Cause-of-a-Swollen-Abdomen-in-Cats-Step-1-Version-2.jpg
G10,Muntah,https://www.ekor9.com/wp-content/uploads/2019/02/kucing-muntah.jpg
G11,Diare,https://2.bp.blogspot.com/-wlQNVsPIbBA/V6ri0TnGFRI/AAAAAAAAA00/zAM2rYhp9L8kdLmhg0Cd28xxcNP0ossUQCLcB/s1600/kucig%2Bdiare%2Batau%2Bmencret.jpg
G12,Perut buncit,https://okdogi.com/wp-content/uploads/2015/12/kucing-mengandung.jpg
G13,Hilang nafsu makan,https://www.kandangkebun.com/wp-content/uploads/2019/07/Kucing-tidak-Mau-Makan.jpg
G14,Ada cacing di fases,https://www.wikihow.com/images_en/thumb/2/29/Deworm-Cats-Step-1-Version-2.jpg/v4-760px-Deworm-Cats-Step-1-Version-2.jpg
G15,Pilek,http://1.bp.blogspot.com/_1lyV6_ZS6k0/S6zO16uHhcI/AAAAAAAAAeA/NxqXgLdDwDo/s1600/flu3.jpg
G16,Bersin bersin,https://cdn.idntimes.com/content-images/community/2020/02/collage-5595ed15c4a2ced434e33ad739a2a280_600x400.png
G17,Hidung tersumbat,https://www.wikihow.com/images_en/thumb/6/64/Treat-a-Cat-with-a-Stuffy-Nose-Step-2-Version-2.jpg/v4-760px-Treat-a-Cat-with-a-Stuffy-Nose-Step-2-Version-2.jpg
G18,Badan lemas,http://4.bp.blogspot.com/-UgxwjrZ_A1U/Vg-Y6Zv6WXI/AAAAAAAAAlg/klVFX5oYn_o/s1600/Kiat%2Bmengobati%2Bkucing%2Bmencret.jpg
G19,Mata berair Anemia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Katzenschnupfen_Herpes.jpg/220px-Katzenschnupfen_Herpes.jpg
G20,Hidung berair,https://hewany.com/wp-content/uploads/2019/11/Membersihkan-kotoran-pada-mata-kucing.jpg
G21,Ringworm pada kulit,https://hewanesia.com/wp-content/uploads/2020/01/penyakit-ringworm-kucing-1536x1152.jpg
G22,Kulit kemerahan sampai lecet,https://okdogi.com/wp-content/uploads/2016/05/ringworm-kucing.jpg
G23,Jamuran,https://pasberita.com/wp-content/uploads/2018/01/Mengobati-Jamur-Pada-Kucing.jpg
G24,Lesi berminyak pengganti,http://2.bp.blogspot.com/-utdmou3dt4I/VZv8CCQO0MI/AAAAAAAAAGI/aetOl30o_k4/s320/stud-tail.jpg
G25,Guratan parah pada telinga,https://lh5.googleusercontent.com/-5JefVBrCXaQ/TYRaUdqPYrI/AAAAAAAAABA/3nvrV7w2Ph8/s1600/tl.jpg
G26,Adanya cairan hitam keluar,https://3.bp.blogspot.com/-wU0lKb4-wyw/WfADwU2kD6I/AAAAAAAAFIE/LnJrEVhYUkIj1uSaU_1b6fu2U_638hKtwCLcBGAs/s1600/mulut-kucing-berlendir-dan-bau.jpg
G27,Telinga terdapat lilin dan bau,https://i1.wp.com/tanyadokterhewan.com/wp-content/uploads/2015/12/Ear-mites-in-cat.jpg
G28,Diare campur darah,https://mymikacat.files.wordpress.com/2012/08/aug-15-2012-2nd-feces-diarrhea-with-less-blood-mika.jpg
G29,Feses lembek,https://www.wikihow.com/images_en/thumb/7/76/Cure-a-Cat-of-Constipation-Step-1-Version-3.jpg/v4-760px-Cure-a-Cat-of-Constipation-Step-1-Version-3.jpg
G30,Minum banyak,https://asset-a.grid.id//crop/0x0:0x0/700x465/photo/2019/03/11/2876356175.jpg
G31,Abdomen sakit,https://kucinggaul.com/wp-content/uploads/2015/01/Untitled-574x330.png
G32,Vaksinasi,https://kucingpedia.com/wp-content/uploads/2017/08/Harga-Vaksin-Kucing-di-Dokter-Hewan.jpg
